Time (s) Run #1,,analog
1078,758,254
1079,758,255
1080,758,258
1081,758,256
1082,758,255
1083,758,254
1084,760,256
1085,760,256
1086,760,263
1087,760,264
1088,760,254
1089,762,285
1090,762,279
1091,762,279
1092,762,301
1093,762,273
1094,762,270
1095,764,263
1096,764,276
1097,764,252
1098,764,251
1099,764,274
1100,764,258
1101,766,265
1102,766,262
1103,766,271
1104,766,269
1105,766,253
1106,768,259
1107,768,267
1108,768,267
1109,768,268
1110,770,275
1111,770,266
1112,770,266
1113,770,267
1114,770,266
1115,770,269
1116,770,267
1117,770,262
1118,770,261
1119,770,263
1120,770,261
1121,770,264
1122,770,266
1123,772,264
1124,772,262
1125,772,262
1126,772,261
1127,772,265
1128,772,264
1129,772,263
1130,772,265
1131,772,266
1132,772,268
1133,772,268
1134,772,266
1135,772,266
1136,772,268
1137,772,268
1138,772,266
1139,774,266
1140,774,270
1141,774,272
1142,774,272
1143,774,273
1144,774,271
1145,776,266
1146,776,275
1147,776,281
1148,776,266
1149,778,282
1150,778,285
1151,780,278
1152,780,278
1153,780,254
1154,782,252
1155,782,254
1156,782,256
1157,784,258
1158,784,259
1159,784,261
1160,786,262
1161,786,256
1162,786,261
1163,786,266
1164,788,273
1165,788,270
1166,788,275
1167,788,269
1168,788,252
1169,790,255
1170,790,249
1171,790,250
1172,790,252
1173,790,255
1174,790,256
1175,790,257
1176,790,266
1177,792,265
1178,792,269
1179,792,270
1180,794,271
1181,794,270
1182,794,257
1183,794,268
1184,794,267
1185,794,266
1186,794,263
1187,796,267
1188,796,271
1189,796,272
1190,796,263
1191,796,262
1192,796,269
1193,796,268
1194,798,271
1195,798,275
1196,798,276
1197,798,275
1198,798,275
1199,798,273
1200,798,247
1201,798,244
1202,800,248
1203,800,254
1204,800,253
1205,800,255
1206,800,256
1207,800,250
1208,800,251
1209,800,250
1210,800,249
1211,800,250
1212,800,250
1213,800,251
1214,800,252
1215,800,252
1216,800,248
1217,800,249
1218,800,250
1219,800,250
1220,800,250
1221,800,251
1222,800,252
1223,800,251
1224,800,254
1225,800,257
1226,800,255
1227,800,257
1228,800,257
1229,800,257
1230,800,256
1231,800,257
1232,800,257
1233,800,257
1234,800,258
1235,800,258
1236,800,258
1237,800,258
1238,802,259
1239,802,259
1240,802,260
1241,802,259
1242,802,260
1243,802,261
1244,802,260
1245,802,261
1246,802,263
1247,802,262
1248,802,261
1249,802,263
1250,802,264
1251,802,265
1252,802,261
1253,802,258
1254,802,260
1255,802,256
1256,802,256
1257,802,261
1258,804,258
1259,804,264
1260,804,261
1261,804,252
1262,804,257
1263,804,256
1264,804,257
1265,804,260
1266,804,261
1267,804,256
1268,804,245
1269,804,265
1270,804,255
1271,804,262
1272,804,266
1273,804,257
1274,804,255
1275,804,257
